Northern Europe,928644,16770,0,0
United Kingdom (inc. Crown Dependencies),683473,13753,-55.378051,-3.435973
United Kingdom-excluding England and Scotland,310243,9571,0,0
England,319734,9589,0,0
Scotland,53496,3645,0,0
Ireland,120144,6262,-53.41291,-8.24389
Denmark,29039,2609,-56.26392,9.501785
Norway,24982,2645,-60.472024,8.468946
Sweden,46335,3628,-60.128161,18.643501
Other Northern Europe,24671,2648,0,0
Western Europe,964714,16839,0,0
Austria,43401,3026,-14.550072,14.550072
Belgium,34232,2938,-50.503887,4.469936
France,173561,8607,-46.227638,2.213749
Germany,585298,12124,-51.165691,10.451526
Netherlands,88580,6180,-52.132633,5.291266
Switzerland,37115,3317,-46.818188,8.227512
Other Western Europe,2527,776,0,0
Southern Europe,787767,16505,0,0
Greece,141325,6452,-39.074208,21.824312
Italy,352492,11766,-41.87194,12.56738
Portugal,176803,8390,-39.399872,-8.224454
Portugal - Azores Islands,27072,3439,0,0
Spain,108953,6903,-40.463667,-3.74922
Other Southern Europe,8194,2545,0,0
Eastern Europe,2097040,29599,0,0
Albania,89744,9135,-41.153332,20.168331
Belarus,56958,5339,-53.709807,27.953389
Bulgaria,67377,5183,-42.733883,25.48583
Croatia,36978,3546,45.1,15.2
Czechoslovakia (includes Czech Republic and Slovakia),66631,5112,0,0
Hungary,70255,5330,-47.162494,19.503304
Latvia,21364,2476,-56.879635,24.603189
Lithuania,31458,3872,-55.169438,23.881275
Macedonia,26277,4621,-41.608635,21.745275
Moldova,43564,5058,-47.411631,28.369885
Poland,419332,12547,-51.919438,19.145136
Romania,159546,7917,-45.943161,24.96676
Russia,386529,13859,-61.52401,105.318756
Ukraine,345620,11934,-48.379433,31.16558
Bosnia and Herzegovina,107969,9021,-43.915886,17.679076
Serbia,36969,4673,-44.016521,21.005859
Other Eastern Europe,130469,8453,0,0
Europe,11497,2703,0,0
Eastern Asia,4085872,43120,0,0
China,2676697,35859,-35.86166,104.195397
China-excluding Hong Kong and Taiwan,2065431,33869,0,0
Hong Kong,233373,7808,-22.396428,114.109497
Taiwan,377893,12637,-23.69781,120.960515
Japan,335767,11198,-36.204824,138.252924
Korea,1060019,20054,-35.907757,127.766922
Other Eastern Asia,13389,3024,0,0
South Central Asia,3797442,44695,0,0
Afghanistan,70653,6928,-33.93911,67.709953
Bangladesh,228682,14479,-23.684994,90.356331
India,2389639,31113,-20.593684,78.96288
Iran,394223,14189,-32.427908,53.688046
Kazakhstan,29859,3389,-48.019573,66.923684
Nepal,120886,8823,-28.394857,84.124008
Pakistan,379435,17427,-30.375321,69.345116
Sri Lanka,52971,5613,-7.873054,80.771797
Uzbekistan,65375,5987,-41.377491,64.585262
Other South Central Asia,65719,7114,0,0
South Eastern Asia,4228958,40229,0,0
Cambodia,166268,9301,-12.565679,104.990963
Indonesia,90833,7010,0.789275,113.921327
Laos,197016,9812,-19.85627,102.495496
Malaysia,69308,5119,-4.210484,101.975766
Burma,137567,10011,-21.913965,95.956223
Philippines,1982369,30007,-12.879721,121.774017
Singapore,36252,3382,-1.352083,103.819836
Thailand,247205,10349,-15.870032,100.992541
Vietnam,1300515,27733,-14.058324,108.277199
Other South Eastern Asia,1625,673,0,0
Western Asia,1088369,22530,0,0
Iraq,215193,13794,-33.223191,43.679291
Israel,129680,6876,-31.046051,34.851612
Jordan,81767,8063,-30.585164,36.238414
Kuwait,31781,3643,-29.31166,47.481766
Lebanon,119613,8361,-33.854721,35.862285
Saudi Arabia,96783,8403,-23.885942,45.079162
Syria,82681,6286,-34.802075,38.996815
Yemen,44337,6088,-15.552727,48.516388
Turkey,116336,8283,-38.963745,35.243322
Armenia,86217,6658,-40.069099,45.038189
Other Western Asia,83981,7429,0,0
Asia,48538,4922,0,0
Eastern Africa,612560,21605,0,0
Eritrea,39063,5274,-15.179384,39.782334
Ethiopia,228745,13680,-9.145,40.489673
Kenya,129905,10130,0.023559,37.906193
Somalia,89153,7277,-5.152149,46.199616
Other Eastern Africa,125694,9018,0,0
Middle Africa,128584,11508,0,0
Cameroon,51172,7568,-7.369722,12.354722
Other Middle Africa,77412,9776,0,0
Northern Africa,345832,15019,0,0
Egypt,185872,11556,-26.820553,30.802498
Morocco,71654,5503,-31.791702,-7.09262
Sudan,46037,6708,-12.862807,30.217636
Other Northern Africa,42269,4655,0,0
Southern Africa,98865,6281,0,0
South Africa,94141,5867,-30.559482,22.937506
Other Southern Africa,4724,1384,0,0
Western Africa,766341,24249,0,0
Cabo Verde,43352,5264,0,0
Ghana,155532,10846,-7.946527,-1.023194
Liberia,79497,7804,-6.428055,-9.429499
Nigeria,323635,18271,-9.081999,8.675277
Sierra Leone,42065,5812,-8.460555,-11.779889
Other Western Africa,122260,9856,0,0
Africa,110075,9089,0,0
Australia and New Zealand Subregion,113277,6339,0,0
Australia,83573,5527,-25.274398,133.775136
Other Australian and New Zealand Subregion,29704,2990,0,0
Fiji,41936,4822,-16.578193,179.414413
Oceania,83450,6289,0,0
Latin America,22111409,88225,0,0
Caribbean,4165453,49473,0,0
Bahamas,34796,3735,-25.03428,-77.39628
Barbados,51739,4829,-13.193887,-59.543198
Cuba,1210674,23840,-21.521757,-77.781167
Dominica,32370,4110,-15.414999,-61.370976
Dominican Republic,1063239,28770,-18.735693,-70.162651
Grenada,29982,3185,-12.262776,-61.604171
Haiti,675546,22289,-18.971187,-72.285215
Jamaica,711134,19231,-18.109581,-77.297508
St. Vincent and the Grenadines,22950,2820,0,0
Trinidad and Tobago,227295,8816,-10.691803,-61.222503
West Indies,33011,4485,0,0
Other Caribbean,72717,6064,0,0
Central America,15027927,80951,0,0
Mexico,11643298,77644,-23.634501,-102.552784
Belize,48811,5371,-17.189877,-88.49765
Costa Rica,90109,5646,-9.748917,-83.753428
El Salvador,1352357,31379,-13.794185,-88.89653
Guatemala,927593,23812,-15.783471,-90.230759
Honduras,599030,25695,-15.199999,-86.241905
Nicaragua,256171,12391,-12.865416,-85.207229
Panama,103625,5810,-8.537981,-80.782127
Other Central America,6933,1586,0,0
South America,2918029,40362,0,0
Argentina,181233,9339,38.416097,-63.616672
Bolivia,78093,6898,16.290154,-63.588653
Brazil,361374,15675,14.235004,-51.92528
Chile,95104,6986,35.675147,-71.542969
Colombia,699399,20772,-4.570868,-74.297333
Ecuador,441257,19017,1.831239,-78.183406
Guyana,281408,12349,-4.860416,-58.93018
Peru,445921,17981,9.189967,-75.015152
Uruguay,43971,5051,32.522779,-55.765835
Venezuela,255520,13320,-6.42375,-66.58973
Other South America,34749,3674,0,0
Northern America,838476,17172,0,0
Canada,830628,17129,-56.130366,-106.346771
Other Northern America,7848,1589,0,0